Date,User,Tweet
2019-09-05 19:33:59+00:00,ByEricThomas,"No quotes from the black athletes who play football at Clemson, Ohio State, Michigan, Bama, Notre Dame, PSU, Auburn, LSU, Oklahoma, etc. No quotes from the black athletes who play b-ball at Duke, UNC, Kentucky, Virginia, Michigan State, Kansas, etc. 🤔 https://t.co/tn7fq8mYMT"
2019-07-22 13:18:00+00:00,JonRothstein,"10 Breakout ACC Players for 19-20 (in no particular order):

Leaky Black, UNC
Alex O’Connell, Duke
Mamadi Diakite, Virginia
Nate Laszewski, Notre Dame
Jalen Carey, Syracuse
Devin Vassell, FSU
M.J. Walker, FSU
Aamir Simms, Clemson
DJ Funderburk, NC State
Wynston Tabbs, BC"
2019-06-05 18:36:02+00:00,CFB_post,"My Top 10 offensive lines for the 2019 college football season

1. Georgia Bulldogs
2. Oregon Ducks
3. Army Black Knights
4. UCF Knights
5. Auburn Tigers
6. Clemson Tigers
7. Alabama Crimson Tide
8. Washington Huskies
9. Missouri Tigers
10. Notre Dame Fighting Irish"
2019-05-13 18:32:11+00:00,C_McCarter6,Texas looks too much like Oklahoma state and Oregon state. Notre dame looks like Michigan state. Bama’s is clean. Clemson’s purple throws off the black https://t.co/wl6iRxdjbh
2019-01-23 18:18:33+00:00,aka_pierrecouvy,"@NDirish1818 @PoliticusSarah A three-finger sign can have different connotations. Context is everything. If a black player gives the sign I assume he’s not espousing white power. Too hard for you to grasp...?

BTW, Notre Dame sure got their asses whipped by Clemson... 😂"
2018-12-30 17:25:32+00:00,deptulahasrage,"Why did Goodyear colorize the rubber Notre Dame mascot and leave the Clemson Tiger black? I was thinking this the other day but was too concerned with football at the time. Don't get me wrong, the tiger was incredibly cool, just looked more like a black panther."
2018-12-30 17:07:37+00:00,EnochsG,@PylesSpencer No kidding. I think my Black Nights could give Clemson better game than Notre Dame!!🏈⚔️
2018-12-30 15:19:35+00:00,PiranhaRGJ,"Current Clemson data:  Black male enrollment, 3.28%, black FB GiA, 65.88%, adj. rev. per FB GiA, $781,131.66, black FB FGR, 57%, white FB FGR, 83%. Elite or professional program?

Clemson Crushes Notre Dame to Reach Its 3rd National Title Game in 4 Seasons https://t.co/rNgEAwrfaM"
2018-12-30 15:10:13+00:00,MichaelBaker6,Clemson is in the gray trunks. Notre Dame is in the black trunks https://t.co/IvNKH1oR2u
2018-12-30 00:09:31+00:00,eternians2725,@TheRealLA__ committee better black ball notre dame from now on like they did ohio state following a clemson loss
2018-12-29 18:24:49+00:00,GoogleNewsHub,Clemson plays Notre Dame in the Cotton Bowl in a College Football Playoff semifinal Tinder Callie Black
2018-12-29 11:55:44+00:00,SportsN76905186,"@CFBRanking December 29/2018
@ESPNCFB
@CFBPlayoff @CapitalOne bowl mania 2018

My winners
Florida beat Michigan
Virginia beat S Carolina
Oklahoma beat Alabama

Clemson and Notre Dame abused 2 Black QBs 

I wish they both could lose,one will lose in the finals

Clemson QB not my image of a QB"
2018-12-28 19:53:34+00:00,chairgatin,Notre Dame Fighting Irish vs the Clemson Black Bear Demon Panthers https://t.co/v6ZxwetUAz
2018-12-27 22:16:25+00:00,CFB_Thoughts,"So @CottonBowlGame painted #NotreDame sculpture but left #Clemson’s sculpture all black... Clemson’s new mascot is the Black Panther, but Goodyear probably should’ve checked with a few folks before making such a drastic mascot change. #CottonBowl #ALLIN #GoIrish https://t.co/o0RJN5w27r"
2018-12-27 18:58:46+00:00,easy_breeezy_,Someone said this looks like the Clemson black panthers vs the notre dame Danny devitos lmaoooooo https://t.co/1e5VM7eLrh
2018-12-27 18:08:22+00:00,dbranno21,@apham8311 @MartySmithESPN @goodyear @cottonbowl @NDFootball @ClemsonFB @CottonBowlGame The Clemson Black Panthers vs The Notre Dame Danny Devitos.
2018-12-08 19:13:52+00:00,halcyon008,"@IgorUcf @KevinNe51393228 @black_corey4 @KyrieIrvingII @CFBPlayoff @RachelBaribeau @American_Conf @UCF_Football Most wins in the last 5 years.
66- Alabama
63- Clemson
61- Ohio State
54- OU
52- Boise St
52- UGA
52- Wisconsin
47- App State
47- Washington
46- Stanford
46- San Diego St
46- Toledo
46- TCU
45- FSU
45- Houston
45- Memphis
45- PSU
44- Utah
44- Notre Dame"
2018-12-08 16:12:14+00:00,JoshLindstrom1,"Congrats to the #7 seed Maine Black Bears for their win over #2 Weber St. in the FCS football playoffs.
Just imagine if that read #7 Michigan beats #2 Clemson. Other matchups could have included #8 UCF vs #1 Alabama, #6 Ohio St. vs #3 Notre Dame and #5 Georgia vs. #4 Oklahoma."
2018-12-03 00:12:26+00:00,pancho_joe,Clemson will assure Notre Dame is in blue ... black and blue that is https://t.co/ZNqOj8unOs
2018-12-02 17:41:48+00:00,Weston_B,"@ward_black @RyanScates So this year would be Bama, Clemson, Ohio State, Oklahoma, Notre Dame, Washington, UCF, and Georgia."
2018-12-02 16:59:23+00:00,JohnHer07059088,"@DickieV @AlabamaFTBL @ClemsonFB @NDFootball @OhioStateFB @B1Gfootball I hate Notre Dame! But I like the top four! I am Irish , I want to be a policeman in Chicago. lolololo I am Irish I want to be a Fireman in Chicago. Chicago is nearly all Black not Irish!"
2018-11-14 16:22:21+00:00,NittanyLionNo22,"@mikeydan80 @SJHSFZachSuter @OnwardState @PennStateFball @CFBPlayoff Can you imagine if Pitt makes it to ACC-CG and upsets Clemson, Northwestern upsets Michigan in Indy, UGA beats Bama in Atlanta and Notre Dame loses to USC?  I think a black hole would open up and destroy us all. LOL!"
2018-10-18 22:19:58+00:00,jmoney2633,"@BigTenNetwork @IowaOnBTN @HawkeyeFootball @JLeman47 I've been a hawk fan for 17 years, I'm a diehard, I bleed black and gold....we are not a playoff team. Alabama, Clemson, Notre Dame, etc...would kill us. If we COULD compete with them we would've destroyed Wisconsin."
2018-10-15 11:19:35+00:00,Enforcer149,"@joelklatt @AlabamaFTBL @ClemsonFB @OhioStateFB @NDFootball @UMichFootball @LSUfootball @TexasFootball @OU_Football @FootballUGA @oregonfootball @GatorsFB @PackFootball @HawkeyeFootball @UW_Football @AggieFootball @UCF_Football @MSU_Football I wish that Michigan/Notre Dame game wasn’t week one. New QB just after the T. Black injury, no spring game, on the road, worst half of football with penalties, and still a chance to win on the last drive. Would be a different game today."
2018-10-02 15:55:59+00:00,RepQuality,"@RunRalphieRun I'm in the minority in saying I sure miss the gold helmets, black jerseys and gold pants as the every-game home jersey. Classics. I don't see Bama, Georgia, Clemson, USC, Notre Dame or Texas with numerous uniforms. But, hope the players enjoy it."
2018-09-30 02:20:47+00:00,BFWPod,"Am I the only who noticed? They quick to replace black QBs in college football... #StayWoke
.
.
#CollegeFootball #Racism #Clemson #Alabama #NotreDame #blackqbsmatter #HoustonPodcast… https://t.co/UGt7YhppR6"
2018-06-06 02:17:02+00:00,_PeppaJack,"@TheRealJaiKumar @lebrownlow Let me take a stab.
Capt America - UNC
Iron Man - Duke
Thor - Miami
Hulk - Clemson 
Starlord - FSU
Vision - Virginia
Hawkeye - NC State
Black Panther - Pitt
Ant Man - Wake
Luke Kuechly - BC
Winter Solider - Notre Dame
Col Sanders - Louisville
Groot - Va Tech
Falcon - Syracuse"
2016-10-02 04:47:33+00:00,SirCoach,"Some really good black QBs in college fball right now @: Louisville, Clemson, Ohio State, Houston, Notre Dame, Miami, Tennessee, TAMU etc."
2016-01-27 23:38:19+00:00,workman_ch3,"@CoachKerryCooks @BGI_CoachD78: grad rates for black athletes - as of 2013: Alabama 53, MSU 49, Clemson 47, Oklahoma 42 - Notre Dame was 86."
2016-01-27 22:52:04+00:00,CoachD178,"The grad rates for black athletes - as of 2013: Alabama 53, MSU 49, Clemson 47, Oklahoma 42 - Notre Dame was 81."
2015-10-04 03:27:27+00:00,Hurricane_Kerri,"@The_J_Cobb Just let me know if they don't Clemson it away. Notre Dame losing would bring a tiny speck of happiness to my cold, black heart."
2015-10-04 01:14:27+00:00,TJamesND,#Clemson's video board was flashing black and white while #NotreDame was caught with delay of game. Almost like a strobe light.
2015-10-01 15:41:32+00:00,Swole_Locc,Notre dame against Clemson I'll have to go Clemson every time sorry but the black boys know how to work and they're bigger
2014-08-27 02:56:16+00:00,zlklrn,@CourtneyDiego @Laurel_Black @varenas09 I was just talking about that yesterday! I was thinking Clemson or Notre dame
2013-08-21 19:15:32+00:00,WLSC,WLSC Tiger Radio welcomes Black Bear Golf Club as a returning sponsor of Clemson Tigers and Notre Dame Football.
2012-09-23 06:30:21+00:00,wwwLISTFOXnet,"#boston Boston College Tickets vs NOTREDAME, Clemson, Army Black Knights &amp;amp; Maryland (Alumni Stadium) http://t.co/KpYOLYjX"
2012-09-23 00:50:41+00:00,SLB2Kay11,Michigan vs Notre Dame and Clemson vs FSU all have 2 things in common... Black quarterbacks and ranked teams. how far we've come
2012-09-23 00:24:43+00:00,RiahRay33,"S/o to my black quarterbacks Clemson, Florida state, Notre dame,Michigan, and Auburn all games going on right now!! 👍👍👍👌👌"
2012-09-23 00:16:15+00:00,StoopKidSlim,Clemson-Florida St....Michigan-Notre Dame...4 black quarterbacks...#Dope
2012-05-04 17:56:51+00:00,c__wetz,So a black Fball player @ Clemson pulled over w/ a joint=1650$ bail. Notre Dame QB Tommy Rees assaults a few police officers=250$ bail.
2010-06-17 05:27:42+00:00,oldsportsstuff,"Clemson Tigers - College Billiard Table Cover Universal Fit, Black (except Notre Dame/Penn State - Blue vinyl), only $119 http://netju.mp/e"
